image,dist_to_nearest_train_cam,psnr,ssim,lpips
DJI_20241229103340_0026_V,0.43643179765025214,19.472449618347543,0.64797205,0.17617549002170563
DJI_20241229103341_0027_V,0.6225694238852166,19.37234633912068,0.68885535,0.17640694975852966
DJI_20241229103342_0028_V,0.4794771794715991,19.27030059327723,0.6871559,0.15333926677703857
DJI_20241229103346_0032_V,0.4673207024175141,19.840260475821786,0.69300586,0.15411418676376343
DJI_20241229103355_0037_V,0.38423067569778674,19.604464785684677,0.67513496,0.16396330296993256
DJI_20241229103357_0039_V,0.0940483651711212,20.36685776935949,0.67719597,0.15914973616600037
DJI_20241229103358_0040_V,0.07226560815316899,21.57677026335382,0.6929223,0.15048716962337494
DJI_20241229103359_0041_V,0.33409688566117995,21.249154869271084,0.66928166,0.1582622528076172
DJI_20241229103402_0044_V,0.5011466998694004,20.99102547761254,0.67797136,0.1632978469133377
DJI_20241229103404_0046_V,0.5134430004780743,20.44541118622795,0.6564632,0.17037054896354675
DJI_20241229103407_0049_V,0.5012734591617047,20.419457702454473,0.679975,0.1638466715812683
DJI_20241229103421_0063_V,0.2801131709057519,20.129463442701486,0.70145273,0.1509811133146286
DJI_20241229103426_0068_V,0.3902348555422762,19.6553460925431,0.68093586,0.16518215835094452
DJI_20241229103427_0069_V,0.083175456003266,19.932126359339225,0.67200357,0.16150863468647003
DJI_20241229103440_0072_V,0.026491681358981337,20.430913625432254,0.7033653,0.16588078439235687
DJI_20241229103448_0080_V,0.48660776322344157,20.042329628142554,0.6751752,0.16411563754081726
DJI_20241229103505_0097_V,0.502413149134461,20.470176414792046,0.66433156,0.1757022589445114
DJI_20241229103545_0110_V,0.5139473852303125,21.565552885906527,0.6730456,0.1308051198720932
DJI_20241229103553_0118_V,0.4903634211988861,20.287442696904492,0.70478874,0.1360953003168106
DJI_20241229103600_0125_V,0.22385286758267328,20.304344060075486,0.72151715,0.1376328468322754
DJI_20241229103601_0126_V,0.4397014999989979,19.946374129706847,0.69969434,0.13533204793930054
DJI_20241229103607_0132_V,0.41284254240964513,20.17551481891461,0.65767306,0.13312509655952454
DJI_20241229103609_0134_V,0.21545267364664858,20.210649180511204,0.68924576,0.1396932452917099
DJI_20241229103610_0135_V,0.44187740947249887,21.059259201333166,0.7099886,0.14427101612091064
DJI_20241229103757_0177_V,0.19996508000406957,20.05500252876854,0.6879898,0.13996395468711853
DJI_20241229103808_0188_V,1.4691110692698388,19.306602437835934,0.68640685,0.16707034409046173
DJI_20241229103809_0189_V,1.463103161099094,18.860158870296114,0.68713635,0.16381216049194336
DJI_20241229103818_0198_V,1.4950931021723384,20.208911305587293,0.6901826,0.14613772928714752
DJI_20241229103827_0207_V,0.22170954464281056,19.807167397134357,0.6791229,0.1387864351272583
DJI_20241229103855_0215_V,1.1693168963735763,20.48092302454233,0.6914167,0.11465512216091156
DJI_20241229103858_0218_V,1.17722206247481,20.30371223667273,0.69488,0.14092017710208893
DJI_20241229103908_0228_V,1.2411406178467328,20.320813481402652,0.71504927,0.15549981594085693
DJI_20241229103909_0229_V,2.4077955210544855,20.002084295830524,0.7159092,0.1553233563899994
DJI_20241229103910_0230_V,1.2281264312333844,19.874132136060723,0.7091327,0.1438349187374115
DJI_20241229103914_0234_V,1.1914652525011873,19.85266668250371,0.7071994,0.14671815931797028
DJI_20241229103917_0237_V,1.192184568994283,20.694660715138284,0.7114165,0.14009927213191986
DJI_20241229103923_0243_V,0.28183543942734124,20.223948567993908,0.6983779,0.1252293586730957
DJI_20241229104002_0245_V,0.12080114024946233,20.780477266615417,0.6807227,0.1533634066581726
DJI_20241229104006_0249_V,0.6946846145085267,21.45701870932115,0.7183297,0.12301183491945267
DJI_20241229104008_0251_V,0.703127902108469,20.276470741569838,0.7034879,0.15336564183235168
DJI_20241229104009_0252_V,0.7103612139345492,20.997440806990998,0.72459024,0.14355935156345367
DJI_20241229104013_0256_V,0.5888514638280213,21.508292213531206,0.7046836,0.13600745797157288
DJI_20241229104025_0260_V,0.07943323587924223,21.057479737377985,0.68872285,0.14760631322860718
DJI_20241229104026_0261_V,0.06693439322557533,20.67718389541312,0.66088027,0.1397087574005127
